timestamp,error_code,source_device,log_message
2024-01-01 00:00:00,OK00,switch-02,System operating within normal parameters
2024-01-01 00:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 00:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 00:45:00,E001,switch-02,High CPU utilization detected
2024-01-01 01:00:00,OK00,switch-02,System operating within normal parameters
2024-01-01 01:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 01:30:00,E005,gateway-04,Authentication failure
2024-01-01 01:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 02:00:00,E003,firewall-03,Network connectivity issues
2024-01-01 02:15:00,E004,gateway-04,Packet loss detected
2024-01-01 02:30:00,OK00,switch-02,System operating within normal parameters
2024-01-01 02:45:00,OK00,switch-02,System operating within normal parameters
2024-01-01 03:00:00,OK00,switch-02,System operating within normal parameters
2024-01-01 03:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 03:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 03:45:00,E001,load-balancer-05,High CPU utilization detected
2024-01-01 04:00:00,OK00,switch-02,System operating within normal parameters
2024-01-01 04:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 04:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 04:45:00,E005,router-01,Authentication failure
2024-01-01 05:00:00,OK00,router-01,System operating within normal parameters
2024-01-01 05:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 05:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 05:45:00,OK00,router-01,System operating within normal parameters
2024-01-01 06:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 06:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 06:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 06:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 07:00:00,E001,switch-02,High CPU utilization detected
2024-01-01 07:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 07:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 07:45:00,E003,load-balancer-05,Network connectivity issues
2024-01-01 08:00:00,E001,router-01,High CPU utilization detected
2024-01-01 08:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 08:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 08:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 09:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 09:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 09:30:00,E003,gateway-04,Network connectivity issues
2024-01-01 09:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 10:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 10:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 10:30:00,E003,firewall-03,Network connectivity issues
2024-01-01 10:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 11:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 11:15:00,E004,router-01,Packet loss detected
2024-01-01 11:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 11:45:00,E005,firewall-03,Authentication failure
2024-01-01 12:00:00,OK00,router-01,System operating within normal parameters
2024-01-01 12:15:00,E003,router-01,Network connectivity issues
2024-01-01 12:30:00,E002,switch-02,Memory usage exceeded threshold
2024-01-01 12:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 13:00:00,OK00,router-01,System operating within normal parameters
2024-01-01 13:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 13:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 13:45:00,E001,gateway-04,High CPU utilization detected
2024-01-01 14:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 14:15:00,E005,router-01,Authentication failure
2024-01-01 14:30:00,OK00,router-01,System operating within normal parameters
2024-01-01 14:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 15:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 15:15:00,E004,firewall-03,Packet loss detected
2024-01-01 15:30:00,E005,router-01,Authentication failure
2024-01-01 15:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 16:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 16:15:00,E004,gateway-04,Packet loss detected
2024-01-01 16:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 16:45:00,E002,switch-02,Memory usage exceeded threshold
2024-01-01 17:00:00,E005,firewall-03,Authentication failure
2024-01-01 17:15:00,E001,switch-02,High CPU utilization detected
2024-01-01 17:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 17:45:00,OK00,gateway-04,System operating within normal parameters
